,BG dice,BG jaccard,TC dice,TC jaccard,ED dice,ED jaccard,ET dice,ET jaccard
921,0.9987737748937212,0.9975505533603906,1.0,1.0,0.971057294743355,0.9437428243398716,1.0,1.0
922,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
923,0.9964980435736859,0.993020528950846,0.7410029498528024,0.5885660731023483,0.7746268656720149,0.6321559074301875,0.7247058823537255,0.5682656826573576
924,0.9990960609115965,0.998193754559033,1.0,1.0,7.936507936507937e-12,7.936507936444949e-12,1.0,1.0
925,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
926,0.9992008500847538,0.99840297643074,1.0,1.0,0.6344827586216749,0.46464646464723713,1.0,1.0
927,0.9993642271828289,0.998729262266149,0.8909952606650868,0.8034188034193634,0.8689138576816479,0.7682119205313365,0.8993710691834381,0.8171428571432054
928,0.9990400450914688,0.9980819314422468,1.0,1.0,0.9552238805976369,0.9142857142858163,1.0,1.0
929,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
930,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
931,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
932,0.9959630581738647,0.991958579096099,0.9145052833815562,0.8424778761062505,0.862299134734487,0.7579313342026258,0.9025641025692307,0.8224299065437156
933,0.9996265967331643,0.9992534722222223,1.0,1.0,1.0,1.0,2.3255813953488374e-11,2.3255813952947543e-11
934,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
935,0.9993882056693031,0.9987771594654946,1.0,1.0,0.9823232323236532,0.965260545905736,1.0,1.0
936,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
937,0.9987244897959279,0.9974522292993631,0.9891933616366269,0.9786177930507909,0.9158950617287809,0.8448398576513559,0.9013539651842359,0.8204225352114257
938,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
939,1.0000000000000087,1.0,1.0,1.0,1.0,1.0,1.0,1.0
940,0.9995831596498628,0.9991666666666666,1.0,1.0,2.0833333333333336e-11,2.0833333332899308e-11,1.0,1.0
